kal_x,vel_x,dis_x
-0.000448626858827383,0.0,0
-0.0007045626418462472,-1.6512454173123898e-06,0
-0.0009777247545039642,-3.94192252427332e-06,0
-0.001474412973771447,-7.396271601655388e-06,0
-0.0022232724032374995,-1.260695068657831e-05,0
-0.002942375492799392,-1.9502837240775634e-05,0
-0.003496644512984178,-2.769500328768831e-05,0
-0.00380417243775729,-3.6607661941902106e-05,0
-0.0039779895710261364,-4.593086814353692e-05,0
-0.004173862725757084,-5.5712924825306605e-05,0
-0.00458755741556767,-6.646094794217313e-05,0
-0.004897081074697798,-7.793414779424498e-05,0
-0.004854314841890416,-8.931119578055386e-05,0
-0.004804350534900422,-0.00010057089269427109,0
-0.004959989187250683,-0.00011219147280146998,0
-0.005355148496057742,-0.00012473786278268631,0
-0.005693105676892324,-0.00013808048712991231,0
-0.0060340018075460385,-0.00015222205133016037,0
-0.00637677063711178,-0.00016716195769210662,0
-0.00638130478495477,-0.0001821128251549585,0
-0.006368396419078153,-0.00019703809194894533,0
-0.006570657513403027,-0.00021243738714760228,0
-0.006673479733120056,-0.00022807209554811275,0
-0.006335030868156426,-0.0002429145470646412,0
-0.006137312285815109,-0.0002572985535942815,0
-0.006124891050436754,-0.0002716531238801824,0
-0.0059166058740281755,-0.00028551462503773197,0
-0.005474570666517161,-0.00029834108972001634,0
-0.005009113277201899,-0.00031008093848956786,0
-0.0048915605013928765,-0.00032154501980085476,0
-0.004958931293129471,-0.00033316312636493255,0
-0.0050038856899565385,-0.00034488655501193255,0
-0.004842326801526941,-0.00035623550180969085,0
-0.004498944158924276,-0.0003667794342919771,0
-0.004247223832374225,-0.0003767301063560125,0
-0.0040769762869561285,-0.0003862819073275757,0
-0.0037891835929429974,-0.000395162609335989,0
-0.003970061213770396,-0.00040446702741939714,0
-0.004307924811934399,-0.00041455991368390983,0
-0.004016127840330546,-0.000423969155020418,0
-0.00400490703886052,-0.0004333554476375813,0
-0.00411165357140495,-0.00044299170808359024,0
-0.0038706897055227163,-0.00045206021152051975,0
-0.0038419167412714105,-0.00046106129994464185,0
